"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"805",3920.9106810844,-1.1008855536057,0.275840068164633,-3.99102842792457,6.57873931810984e-05,0.010548688292463
"1164",265.943408148584,-1.32640980591574,0.33255946673588,-3.98848909319783,6.64954595692313e-05,0.0105686950169728
"64386",125.354811207717,-2.18959118590426,0.5497671678437,-3.982760910391,6.81192761510178e-05,0.0107326362137417
"57731",49.1840349264223,3.26528431615395,0.821140144993752,3.9765250013185,6.99296498890453e-05,0.010922890744307
"90527",470.222840431943,1.55650119007443,0.391871964716468,3.97196362643754,7.12826059940497e-05,0.0110390558803948
"120892",19.7020186153961,-3.09782571623587,0.781755228515043,-3.96265429797028,7.41210723971094e-05,0.0113813534810443
"1378",27.3488100436716,-3.64052366609104,0.919521042611106,-3.95915209917684,7.52163253642812e-05,0.0114524756241631
"146429",25.6308735777567,2.40072228285965,0.606899840950157,3.95571414074042,7.63063611369696e-05,0.0115216246453396
"26507",29.943316247121,2.47993699113047,0.627715609755523,3.95073334578429,7.79120928887815e-05,0.0115712230414085
"57091",13.6644274649126,-4.21623254899192,1.06714890893844,-3.95093179000303,7.78475110648916e-05,0.0115712230414085
"9024",62.879744016284,2.02870853631505,0.513826398246914,3.9482372708694,7.87287549363e-05,0.0115974496804132
"65012",32.7924955800803,3.33126252875244,0.844547160962231,3.94443635919276,7.99878918825616e-05,0.0116879081695172
"649264",52.5388251085421,2.52774592784604,0.641943958942234,3.93764267524403,8.22860063349215e-05,0.0119275211902595
"2867",20.98545150285,-5.74207930263057,1.45948343620943,-3.93432303524039,8.34315122728374e-05,0.0119975838958059
"283345",141.502891978913,2.12257093505741,0.540531625797749,3.9268209920646,8.60759938363444e-05,0.0122804010418955
"102465436",23.8523154938447,-5.80997025633479,1.4824731023584,-3.919106692116,8.88777675788209e-05,0.0123880020992418
"7096",14.8938836660078,-3.95648519096366,1.00937783117563,-3.91972665612789,8.8649455820811e-05,0.0123880020992418
"3040",48650.2610158545,-6.82057875085244,1.74034440985462,-3.91909711217576,8.88812999007361e-05,0.0123880020992418
"6286",8.25890880048575,-6.53846304849213,1.67002455822569,-3.91518975950803,9.03331327326909e-05,0.0124127564991145
"4773",29.7135557752943,-4.41186073568659,1.12693114305971,-3.91493372319805,9.04290445324311e-05,0.0124127564991145
"5210",1419.62274735468,1.74967147750609,0.447409116875529,3.91067461862397,9.20386924118654e-05,0.0125387147955683
"10841",116.588524315277,3.00933758760929,0.770384015729517,3.90628248531298,9.37269351070096e-05,0.0126734204268948
"4067",65.1697626125434,-2.48242523714696,0.635913684873942,-3.90371413006948,9.47276630339433e-05,0.0127138557519409
"8912",1711.79630360554,2.54938249959844,0.653416283396605,3.90162070395029,9.55507956584002e-05,0.0127300357833423
"283870",151.281249336948,1.66742442504565,0.429028670522147,3.88651048195992,0.000101695537380355,0.0134294100535297
"6352",29.9222618749404,-4.66849006605613,1.20163581801399,-3.88511227450925,0.000102282608719416,0.0134294100535297
"64061",2063.79064997959,1.49762316190311,0.386170742406822,3.87813730416013,0.00010525930785901,0.0136419999534822
"100233156",635.440560766454,3.28718594290708,0.847694669388719,3.87779475512982,0.000105407582840527,0.0136419999534822
"4577",570.229774100368,2.42038781547516,0.626342488739186,3.86432001499268,0.000111399095540932,0.0143151788092634
"57593",375.394827941627,1.33388379740496,0.346187192301857,3.85307090229349,0.000116645595038674,0.0148838136373643
"397",160.289450934577,-2.93352213649687,0.762174869367757,-3.84888331326157,0.000118657509721859,0.0150346532772753
"114769",27.9410434371381,-2.7447129326828,0.713499821670811,-3.84683057979675,0.000119655648568194,0.0150558381694938
"4573",380.239425050782,3.06098662058006,0.797971133860506,3.83596159145671,0.000125073955118651,0.0156290689158264
"57582",103.950773140249,2.28174170935814,0.595313775261796,3.83283875525092,0.000126672987650438,0.0157204648167006
"58",38.8088822834602,2.90468327548831,0.758612977412388,3.82893960685476,0.000128696580965802,0.0158629479627168
"713",23.6089042766818,-5.78687397875301,1.51380310156142,-3.82273888379811,0.000131977516859188,0.0159970114360066
"7869",3126.75725920014,1.429895080467,0.37438205104884,3.8193473123541,0.000133805253938236,0.0159970114360066
"105376003",74.7677572963357,3.25208911484389,0.850796865241337,3.82240373431725,0.000132157077849206,0.0159970114360066
"374403",29.7868264438103,-3.02701140048464,0.792333744265784,-3.82037420770161,0.000133249352108139,0.0159970114360066
"2059",839.911331445738,-1.35706679317373,0.355531856498807,-3.81700477289938,0.000135081558016944,0.0159970114360066
"91662",7.86236296622663,-6.46287531769198,1.69259790338805,-3.81831698169738,0.000134365210996571,0.0159970114360066
"9595",16.6678231574375,-3.83146602064803,1.00482949552085,-3.81305090836531,0.000137261825366401,0.0160454646052504
"2162",13.6075854602043,-6.28159406740216,1.64670393701898,-3.81464689929246,0.000136377792954873,0.0160454646052504
